Year ,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1960's,Jealous Kind Of Fella,Garland Green,0.417,0.62,-7.727,0.0403,0.49,0,0.0779,0.845,185.655
1960's,Initials B.B.,Serge Gainsbourg,0.498,0.505,-12.475,0.0337,0.018,0.107,0.176,0.797,101.801
1960's,Melody Twist,Lord Melody,0.657,0.649,-13.392,0.038,0.846,4.42e-06,0.119,0.908,115.94
1960's,Mi Bomba Sonó,Celia Cruz,0.59,0.545,-12.058,0.104,0.706,0.0246,0.061,0.967,105.592
1960's,Uravu Solla,P. Susheela,0.515,0.765,-3.515,0.124,0.857,0.000872,0.213,0.906,114.617
1960's,Beat n. 3,Ennio Morricone,0.697,0.673,-10.573,0.0266,0.714,0.919,0.122,0.778,112.117
1960's,Samba De Uma Nota So (One Note Samba),Antônio Carlos Jobim,0.662,0.272,-18.883,0.0313,0.36,0.228,0.0963,0.591,143.507
1960's,Happy Days,Marv Johnson,0.72,0.624,-9.086,0.0473,0.795,0,0.488,0.887,119.999
1960's,Carolina - Remastered 2006,Caetano Veloso,0.545,0.22,-15.079,0.0828,0.582,0.239,0.269,0.386,118.223
1960's,I Can Hear Music,The Beach Boys,0.511,0.603,-7.637,0.028,0.0385,1.67e-06,0.142,0.685,128.336
1960's,"The Aftermath (From ""Stagecoach"")",Jerry Goldsmith,0.491,0.0675,-17.096,0.0606,0.826,0.519,0.134,0.122,124.986
1960's,Ride Away,Roy Orbison,0.52,0.411,-12.411,0.0315,0.786,0.0012,0.146,0.35,120.29
1960's,Caboclo Nordestino,Luiz Gonzaga,0.717,0.565,-8.606,0.0283,0.451,0,0.108,0.961,100.757
1960's,P.T. 109,Jimmy Dean,0.746,0.666,-10.408,0.146,0.543,0,0.0488,0.84,94.024
1960's,Bye Bye Baby,Mary Wells,0.598,0.448,-14.978,0.0399,0.832,0.471,0.588,0.832,124.875
1960's,A Festa dos Seus 15 Anos,Leño,0.521,0.396,-12.299,0.0463,0.576,0.000893,0.462,0.599,82.628
1960's,My Empty Arms,Jackie Wilson,0.356,0.45,-6.677,0.03,0.924,0.000206,0.128,0.313,74.4
1960's,Alfômega - Remastered 2006,Caetano Veloso,0.493,0.666,-8.209,0.0967,0.041,4.42e-05,0.351,0.519,123.446
1960's,"Parsifal: ""Wehevolles Erbe, dem ich verfallen""",Staatskapelle Berlin,0.147,0.246,-16.997,0.0504,0.964,0.115,0.113,0.0387,74.94
1960's,Let The Good Times Roll,Shirley & Lee,0.502,0.445,-9.562,0.0688,0.481,0,0.0823,0.939,140.988
1960's,I'm Here To Get My Baby Out Of Jail,The Everly Brothers,0.48,0.225,-15.402,0.031,0.78,0,0.0877,0.58,128.017
1960's,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,0.604,0.357,-11.419,0.0269,0.0311,0,0.0927,0.638,100.721
1960's,"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",Traditional,0.213,0.0581,-22.425,0.0487,0.982,0.69,0.167,0.0395,84.048
1960's,Montague Terrace (In Blue),Scott Walker,0.427,0.14,-19.857,0.034,0.549,1.03e-06,0.0443,0.293,137.787
1960's,"Madama Butterfly, Act II: Or vienmi ad adornar (Suzuki, Butterfly)",Giacomo Puccini,0.26,0.0248,-24.431,0.0421,0.979,0.000378,0.228,0.0371,105.846
1960's,Mother-In-Law,Ernie K-Doe,0.81,0.524,-9.77,0.0339,0.77,1.03e-05,0.161,0.949,130.214
1960's,Keep On Trying,Bobby Vee,0.498,0.527,-9.263,0.0298,0.0789,0,0.571,0.868,123.042
1960's,Can't Buy Me Love,The Beatles,0.844,0.299,-12.645,0.0621,0.848,0.844,0.102,0.566,102.088
1960's,Lonely Little Girl,Frank Zappa,0.463,0.463,-12.178,0.0349,0.616,0.00157,0.584,0.811,109.603
1960's,Yaaraithaan Nambuvatho,P. Susheela,0.431,0.551,-12.732,0.0526,0.885,0.875,0.128,0.64,79.14
1960's,Just Be Sincere,Jackie Wilson,0.515,0.699,-7.316,0.0483,0.657,0,0.154,0.783,111.28
1960's,Cien Kilos de Barro (100 Pounds of Clay),Enrique Guzman,0.528,0.493,-12.346,0.0298,0.414,0,0.674,0.888,118.575
1960's,Come Rain Or Come Shine,Ray Charles,0.357,0.216,-12.833,0.0343,0.767,4.31e-06,0.531,0.283,119.57
1960's,Caprice viennois,Fritz Kreisler,0.283,0.0811,-20.653,0.047,0.982,0.771,0.0897,0.0797,88.961
1960's,Uma Especial Oração (My Special Prayer),Jerry Adriani,0.56,0.821,-4.09,0.0313,0.0853,0.000215,0.0592,0.793,117.568
1960's,If You Never Come To Me (Inútil Paisagen),Antônio Carlos Jobim,0.337,0.172,-16.735,0.031,0.784,0.000454,0.102,0.106,97.055
1960's,Ebrio,Gerardo Reyes,0.565,0.358,-8.442,0.0259,0.579,0,0.198,0.535,100.826
1960's,I Idolize You,Ike & Tina Turner,0.743,0.398,-8.328,0.048,0.808,0,0.106,0.833,118.568
1960's,Españolito,Joan Manuel Serrat,0.555,0.658,-4.487,0.0445,0.164,0,0.0363,0.44,120.911
1960's,See You In September,The Happenings,0.519,0.422,-8.732,0.0282,0.864,0,0.332,0.803,128.956
1960's,Where Did Our Love Go,The Supremes,0.566,0.49,-10.867,0.0414,0.791,1.42e-05,0.0919,0.847,134.934
1960's,Inolvidable,Tito Rodriguez,0.257,0.378,-9.61,0.0329,0.739,6.12e-05,0.12,0.385,81.541
1960's,Hip City - Pt. 2,Jr. Walker & The All Stars,0.611,0.686,-10.647,0.0508,0.126,0.00129,0.38,0.701,147.076
1960's,How Sweet It Is To Be Loved By You,Marvin Gaye,0.653,0.49,-10.106,0.0408,0.323,4.13e-06,0.0832,0.963,110.202
1960's,For Once In My Life,Tony Bennett,0.203,0.375,-8.781,0.0346,0.862,4.89e-05,0.137,0.222,71.94
1960's,When the World Ends / Epitaph / Farewell and Thanksgiving,Mark Van Doren,0.721,0.137,-22.806,0.952,0.934,0.0001,0.128,0.495,86.454
1960's,Si Tuviera Tu Amor,La Sonora Matancera,0.597,0.365,-12.031,0.0794,0.458,0,0.438,0.782,127.97
1960's,Russell And Eliot,Yusef Lateef,0.559,0.41,-13.831,0.0495,0.224,0.78,0.0608,0.618,140.173
1960's,Thamizh Engal Uyiranathu,P. Susheela,0.475,0.474,-13.897,0.273,0.488,0.00501,0.0756,0.965,90.467
1960's,For What It's Worth,The Staple Singers,0.763,0.621,-9.908,0.0374,0.655,0,0.158,0.825,103.309
1960's,"Take The ""A"" Train",Maynard Ferguson,0.468,0.756,-7.37,0.0969,0.619,0.956,0.319,0.718,124.191
1960's,La Suegra (Mother in Law),Los Teen Tops,0.583,0.556,-12.165,0.0339,0.372,0,0.676,0.783,133.215
1960's,Boi Bumbá,Luiz Gonzaga,0.611,0.697,-8.43,0.0437,0.406,0,0.24,0.971,139.521
1960's,Werewolf Watusi,Don Hinson & The Rigamorticians,0.762,0.496,-12.845,0.289,0.493,0,0.325,0.704,122.049
1960's,Esta Noite Me Embriago (Esta Noche Me Emborracho),Nelson Gonçalves,0.603,0.513,-7.329,0.0582,0.843,0,0.357,0.732,121.325
1960's,Is It Really Over?,Jim Reeves,0.275,0.241,-14.526,0.0293,0.805,0.0124,0.135,0.221,80.842
1960's,Baby You're A Rich Man,The Beatles,0.619,0.625,-9.635,0.036,0.0119,1.05e-06,0.152,0.467,96.751
1960's,Largo,Paulinho Nogueira,0.608,0.0113,-32.324,0.0677,0.934,0.812,0.107,0.15,115.358
1960's,Il faut savoir,Charles Aznavour,0.492,0.47,-8.732,0.0275,0.703,0,0.373,0.559,110.284
1960's,Ya Parte el Galgo Terrible,Victor Jara,0.728,0.669,-8.755,0.24,0.857,0,0.11,0.862,126.755
1960's,"Happy Birthday, Sweet Sixteen",Neil Sedaka,0.498,0.796,-4.882,0.0453,0.607,0,0.3,0.906,79.648
1960's,Gentleness,David Lindup,0.24,0.0867,-18.238,0.0304,0.959,0.95,0.111,0.0371,98.185
1960's,The First Noel,Traditional,0.238,0.28,-11.502,0.0307,0.943,8.26e-05,0.331,0.275,77.224
1960's,The Lone Teen Ranger,Jerry Landis,0.402,0.789,-6.148,0.124,0.891,0,0.294,0.949,172.346
1960's,Running Bear,Johnny Preston,0.772,0.297,-14.679,0.053,0.854,7.59e-06,0.125,0.822,119.987
1960's,"Sad, Sad Girl",Barbara Mason,0.306,0.495,-7.663,0.0273,0.621,0,0.37,0.666,165.462
1960's,Zelda's Theme,Pérez Prado,0.849,0.898,-6.064,0.0388,0.734,0.865,0.0438,0.967,134.396
1960's,Amor,Ben E. King,0.548,0.566,-11.876,0.0307,0.672,1.22e-05,0.112,0.805,100.813
1960's,Some Things You Never Get Used To,Diana Ross & The Supremes,0.668,0.835,-0.507,0.0341,0.0941,1.17e-06,0.116,0.821,125.228
1960's,There'll Come A Time,Betty Everett,0.66,0.743,-6.881,0.0325,0.302,0.0205,0.134,0.96,122.668
1960's,The Rains Came,Sir Douglas Quintet,0.573,0.671,-4.964,0.0308,0.495,1.5e-05,0.0487,0.932,132.734
1960's,The Loop,Johnny Lytle,0.784,0.508,-9.541,0.039,0.641,0.508,0.084,0.488,121.314
