year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,Porque?,Reginaldo Rossi,0.669,0.547,-9.873,0.0576,0.353,0,0.73,131.073
1970's,Free Jazz,Maria Teresa Luciani,0.291,0.3,-14.054,0.0326,0.905,0.492,0.039,75.619
1970's,Reject of Society,Crass,0.355,0.968,-4.687,0.189,0.0504,0,0.768,181.291
1970's,Yeah !,The Jets,0.598,0.891,-11.904,0.0552,0.0183,0.836,0.826,144.383
1970's,Gotta Find A Way,The Moments,0.44,0.376,-10.939,0.0482,0.348,0,0.358,130.438
1970's,What Shall We Do When We All Go Out?,Mike Seeger,0.618,0.167,-16.755,0.0451,0.828,3.29e-06,0.651,175.951
1970's,Beautiful Sunday,Daniel Boone,0.676,0.463,-13.155,0.0306,0.309,0,0.91,121.923
1970's,The Man With The Child In His Eyes,Kate Bush,0.249,0.261,-10.592,0.0334,0.962,0.00154,0.195,90.007
1970's,Psychedelic Shack,The Temptations,0.663,0.822,-13.119,0.059,0.199,8.69e-06,0.818,108.94
1970's,Tell It Like It Is,Andy Williams,0.522,0.44,-13.258,0.035,0.434,0,0.295,97.475
1970's,Help,The Damned,0.423,0.95,-10.638,0.112,0.0917,0,0.306,168.217
1970's,Listen Here,Brian Auger & The Trinity,0.62,0.779,-10.159,0.0407,0.00454,0.86,0.96,134.501
1970's,Long Live Rock,The Who,0.465,0.84,-6.608,0.0489,0.327,0.00113,0.579,129.436
1970's,Kaloaloa,Hui Ohana,0.546,0.366,-11.837,0.0346,0.933,0.695,0.79,150.301
1970's,Águas De Marco,Elis Regina,0.611,0.322,-13.666,0.287,0.802,4.38e-05,0.857,150.686
1970's,Hot Line,The Sylvers,0.831,0.967,-3.207,0.0556,0.24,1.03e-06,0.966,132.824
1970's,Willie And The Hand Jive,Eric Clapton,0.821,0.259,-17.039,0.402,0.248,0.0162,0.737,90.915
1970's,Grooving Out on Life,Dennis Brown,0.757,0.293,-16.331,0.0565,0.176,0.622,0.572,90.816
1970's,Greenwood Mississippi,Little Richard,0.727,0.611,-14.611,0.0372,0.125,2.98e-05,0.951,127.357
1970's,Don't Hide Your Love,Cher,0.495,0.34,-14.689,0.0394,0.463,0,0.751,149.364
1970's,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,0.604,0.357,-11.419,0.0269,0.0311,0,0.638,100.721
1970's,The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Marvin Hamlisch,0.615,0.386,-11.662,0.0904,0.873,0.778,0.365,156.85
1970's,Miss You,The Rolling Stones,0.795,0.71,-4.746,0.0392,0.443,0.0215,0.845,109.689
1970's,Funky Man,Kool & The Gang,0.699,0.725,-9.315,0.18,0.0862,0.0153,0.741,109.862
1970's,Make It With You,The Whispers,0.747,0.705,-11.036,0.0541,0.00643,3.9e-05,0.822,116.184
