Year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
2010's,Wild Things,Alessia Cara,0.741,0.626,-4.826,0.0886,0.02,0,0.706,108.029
2010's,Surfboard,Esquivel!,0.447,0.247,-14.661,0.0346,0.871,0.814,0.25,155.489
2010's,Love Someone,Lukas Graham,0.55,0.415,-6.557,0.052,0.161,0,0.274,172.065
2010's,Music To My Ears (feat. Tory Lanez),Keys N Krates,0.502,0.648,-5.698,0.0527,0.00513,0,0.291,91.837
2010's,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,0.807,0.887,-3.892,0.275,0.00381,0,0.78,160.517
2010's,Here's To Never Growing Up,Avril Lavigne,0.482,0.873,-3.145,0.0853,0.0111,0,0.737,165.084
2010's,Sex Metal Barbie,In This Moment,0.533,0.935,-3.704,0.128,0.0139,0,0.481,140.092
2010's,Helluva Night,Ludacris,0.736,0.522,-8.02,0.116,0.0299,0,0.369,97.547
2010's,Holiday With HH,No Bros,0.166,0.985,-2.886,0.17,0.00183,0.0142,0.139,174.725
2010's,My Last,Big Sean Featuring Chris Brown,0.387,0.773,-5.685,0.17,0.098,0,0.368,78.629
2010's,Break Up In The End,Cole Swindell,0.507,0.372,-8.433,0.0303,0.481,0,0.257,86.422
2010's,Cirrus,Bonobo,0.64,0.844,-8.412,0.0374,0.395,0.933,0.364,119.042
2010's,"Theme From ""Bus Stop""",Jackie Gleason,0.245,0.0935,-19.343,0.0373,0.748,0.254,0.107,124.385
2010's,Crawling Back To You,Daughtry,0.438,0.919,-2.91,0.0495,0.00674,0,0.195,151.026
2010's,Maze of Martyr (Official Dominator 2017 anthem) - Radio Edit,Dj Mad Dog,0.32,0.99,-2.454,0.344,0.00902,0.00032,0.0424,178.107
2010's,Hotline Bling,Drake,0.891,0.625,-7.861,0.0558,0.00261,0.000176,0.548,134.967
2010's,Cut Her Off,KCamp Featuring 2 Chainz,0.769,0.611,-2.85,0.039,0.098,0,0.0901,144.037
2010's,Beautiful People,Chris Brown Featuring Benny Benassi,0.417,0.806,-5.339,0.16,0.0703,0.00637,0.545,127.887
2010's,Survival,Eminem,0.459,0.899,-2.978,0.21,0.0038,0,0.437,176.384
2010's,Squidwards Nose (feat. Kg Prince),Joey Trap,0.634,0.88,-1.714,0.293,0.169,0,0.548,150.959
2010's,Windshield,Greensky Bluegrass,0.48,0.548,-9.119,0.0328,0.627,0.00502,0.322,90.109
2010's,Don't Speak (Instrumental),Joseph Sullinger,0.526,0.228,-12.975,0.0542,0.975,0.903,0.239,143.295
2010's,Faster,Matt Nathanson,0.742,0.853,-4.147,0.0393,0.00743,4.79e-06,0.95,107.03
2010's,Sugar,Robin Schulz Featuring Francesco Yates,0.636,0.815,-5.098,0.0581,0.0185,0,0.636,123.063
